"refrigerant_id","refrigerant_name","list"
1,"HC-12a",NULL
2,"DR-14A",NULL
3,"HC-22a",NULL
4,"HC-502a",NULL
5,"HFO-1336mzz-E",NULL
6,"HFO-1336mzz-Z (R1336mzz-Z) (DR-2)",NULL
7,"R-10",NULL
8,"R-11",NULL
9,"R-12",NULL
10,"R-12B1",NULL
11,"R-12B2",NULL
12,"R-13",NULL
13,"R-13B1",NULL
14,"R-14",NULL
15,"R-20",NULL
16,"R-21",NULL
17,"R-22",NULL
18,"R-22B1",NULL
19,"R-23",NULL
20,"R-30",NULL
21,"R-31",NULL
22,"R-32",NULL
23,"R-40",NULL
24,"R-41",NULL
25,"R-50",NULL
26,"R-110",NULL
27,"R-111",NULL
28,"R-112",NULL
29,"R-112a",NULL
30,"R-113",NULL
31,"R-113a",NULL
32,"R-114",NULL
33,"R-114a",NULL
34,"R-114B2",NULL
35,"R-115",NULL
36,"R-116",NULL
37,"R-120",NULL
38,"R-121",NULL
39,"R-121a",NULL
40,"R-122",NULL
41,"R-122a",NULL
42,"R-122b",NULL
43,"R-123",NULL
44,"R-123a",NULL
45,"R-123b",NULL
46,"R-124",NULL
47,"R-124a",NULL
48,"R-125",NULL
49,"R-E125",NULL
50,"R-130",NULL
51,"R-130a",NULL
52,"R-131",NULL
53,"R-131a",NULL
54,"R-131b",NULL
55,"R-132",NULL
56,"R-132a",NULL
57,"R-132b",NULL
58,"R-132bB2",NULL
59,"R-132c",NULL
60,"R-133",NULL
61,"R-133a",NULL
62,"R-133b",NULL
63,"R-134",NULL
64,"R-134a",NULL
65,"R-E134",NULL
66,"R-140",NULL
67,"R-140a",NULL
68,"R-141",NULL
69,"R-141a",NULL
70,"R-141b",NULL
71,"R-141B2",NULL
72,"R-142a",NULL
73,"R-142b",NULL
74,"R-143",NULL
75,"R-143a",NULL
76,"R-E143a",NULL
77,"R-143m",NULL
78,"R-150",NULL
79,"R-150a",NULL
80,"R-151",NULL
81,"R-151a",NULL
82,"R-152",NULL
83,"R-152a",NULL
84,"R-160",NULL
85,"R-161",NULL
86,"R-170",NULL
87,"R-E170",NULL
88,"R-211",NULL
89,"R-212",NULL
90,"R-213",NULL
91,"R-214",NULL
92,"R-215",NULL
93,"R-216",NULL
94,"R-216ca",NULL
95,"R-217",NULL
96,"R-217ba",NULL
97,"R-218",NULL
98,"R-221",NULL
99,"R-222",NULL
100,"R-222c",NULL
101,"R-223",NULL
102,"R-223ca",NULL
103,"R-223cb",NULL
104,"R-224",NULL
105,"R-224ca",NULL
106,"R-224cb",NULL
107,"R-224cc",NULL
108,"R-225",NULL
109,"R-225aa",NULL
110,"R-225ba",NULL
111,"R-225bb",NULL
112,"R-225ca",NULL
113,"R-225cb",NULL
114,"R-225cc",NULL
115,"R-225da",NULL
116,"R-225ea",NULL
117,"R-225eb",NULL
118,"R-226",NULL
119,"R-226ba",NULL
120,"R-226ca",NULL
121,"R-226cb",NULL
122,"R-226da",NULL
123,"R-226ea",NULL
124,"R-227ca",NULL
125,"R-227ca2",NULL
126,"R-227ea",NULL
127,"R-227me",NULL
128,"R-231",NULL
129,"R-232",NULL
130,"R-232ca",NULL
131,"R-232cb",NULL
132,"R-233",NULL
133,"R-233ca",NULL
134,"R-233cb",NULL
135,"R-233cc",NULL
136,"R-234",NULL
137,"R-234aa",NULL
138,"R-234ab",NULL
139,"R-234ba",NULL
140,"R-234bb",NULL
141,"R-234bc",NULL
142,"R-234ca",NULL
143,"R-234cb",NULL
144,"R-234cc",NULL
145,"R-234cd",NULL
146,"R-234da",NULL
147,"R-234fa",NULL
148,"R-234fb",NULL
149,"R-235",NULL
150,"R-235ca",NULL
151,"R-235cb",NULL
152,"R-235cc",NULL
153,"R-235da",NULL
154,"R-235fa",NULL
155,"R-236cb",NULL
156,"R-236ea",NULL
157,"R-236fa",NULL
158,"R-236me",NULL
159,"R-FE-36",NULL
160,"R-241",NULL
161,"R-242",NULL
162,"R-243",NULL
163,"R-243ca",NULL
164,"R-243cb",NULL
165,"R-243cc",NULL
166,"R-243da",NULL
167,"R-243ea",NULL
168,"R-243ec",NULL
169,"R-244",NULL
170,"R-244ba",NULL
171,"R-244bb",NULL
172,"R-244ca",NULL
173,"R-244cb",NULL
174,"R-244cc",NULL
175,"R-244da",NULL
176,"R-244db",NULL
177,"R-244ea",NULL
178,"R-244eb",NULL
179,"R-244ec",NULL
180,"R-244fa",NULL
181,"R-244fb",NULL
182,"R-245ca",NULL
183,"R-245cb",NULL
184,"R-245ea",NULL
185,"R-245eb",NULL
186,"R-245fa",NULL
187,"R-245mc",NULL
188,"R-245mf",NULL
189,"R-245qc",NULL
190,"R-251",NULL
191,"R-252",NULL
192,"R-252ca",NULL
193,"R-252cb",NULL
194,"R-252dc",NULL
195,"R-252ec",NULL
196,"R-253",NULL
197,"R-253ba",NULL
198,"R-253bb",NULL
199,"R-253ca",NULL
200,"R-253cb",NULL
201,"R-253ea",NULL
202,"R-253eb",NULL
203,"R-253ec",NULL
204,"R-253fa",NULL
205,"R-253fb",NULL
206,"R-253fc",NULL
207,"R-254cb",NULL
208,"R-254pc",NULL
209,"R-261",NULL
210,"R-261ba",NULL
211,"R-262",NULL
212,"R-262ca",NULL
213,"R-262fa",NULL
214,"R-262fb",NULL
215,"R-263",NULL
216,"R-271",NULL
217,"R-271b",NULL
218,"R-271d",NULL
219,"R-271fb",NULL
220,"R-272",NULL
221,"R-281",NULL
222,"R-290",NULL
223,"R-C316",NULL
224,"R-C317",NULL
225,"R-C318",NULL
226,"R-3-1-10",NULL
227,"R-329ccb",NULL
228,"R-338eea",NULL
229,"R-347ccd",NULL
230,"R-347mcc",NULL
231,"R-347mmy",NULL
232,"R-365mfc",NULL
233,"R-4-1-12",NULL
234,"R-5-1-14",NULL
235,"R-400",NULL
236,NULL,NULL
237,"R-401A",NULL
238,"R-401B",NULL
239,"R-401C",NULL
240,"R-402A",NULL
241,"R-402B",NULL
242,"R-403A",NULL
243,"R-403B",NULL
244,"R-404A",NULL
245,"R-405A",NULL
246,"R-406A",NULL
247,"R-406B",NULL
248,"R-407A",NULL
249,"R-407B",NULL
250,"R-407C",NULL
251,"R-407D",NULL
252,"R-407E",NULL
253,"R-407F",NULL
254,"R-408A",NULL
255,"R-409A",NULL
256,"R-409B",NULL
257,"R-410A",NULL
258,"R-410B",NULL
259,"R-411A",NULL
260,"R-411B",NULL
261,"R-411C",NULL
262,"R-412A",NULL
263,"R-413A",NULL
264,"R-414A",NULL
265,"R-414B",NULL
266,"R-415A",NULL
267,"R-415B",NULL
268,"R-416A",NULL
269,"R-417A",NULL
270,"R-417B",NULL
271,"R-418A",NULL
272,"R-419A",NULL
273,"R-420A",NULL
274,"R-421A",NULL
275,"R-421B",NULL
276,"R-422A",NULL
277,"R-422B",NULL
278,"R-422C",NULL
279,"R-422D",NULL
280,"R-423A",NULL
281,"R-424A",NULL
282,"R-425A",NULL
283,"R-426A",NULL
284,"R-427A",NULL
285,"R-428A",NULL
286,"R-429A",NULL
287,"R-430A",NULL
288,"R-431A",NULL
289,"R-432A",NULL
290,"R-433A",NULL
291,"R-433B",NULL
292,"R-433C",NULL
293,"R-434A",NULL
294,"R-435A",NULL
295,"R-436A",NULL
296,"R-436B",NULL
297,"R-437A",NULL
298,"R-438A",NULL
299,"R-439A",NULL
300,"R-440A",NULL
301,"R-441A",NULL
302,"R-448A",NULL
303,NULL,NULL
304,NULL,NULL
305,NULL,NULL
306,NULL,NULL
307,"R-449A",NULL
308,NULL,NULL
309,NULL,NULL
310,NULL,NULL
311,"R-452B",NULL
312,NULL,NULL
313,NULL,NULL
314,"R-453A",NULL
315,NULL,NULL
316,NULL,NULL
317,NULL,NULL
318,NULL,NULL
319,NULL,NULL
320,"R-454A",NULL
321,NULL,NULL
322,"R-454B",NULL
323,NULL,NULL
324,"R-454C",NULL
325,NULL,NULL
326,"R-455A",NULL
327,NULL,NULL
328,NULL,NULL
329,"R-456A",NULL
330,NULL,NULL
331,NULL,NULL
332,"R-457A",NULL
333,NULL,NULL
334,NULL,NULL
335,"R-458A",NULL
336,NULL,NULL
337,NULL,NULL
338,NULL,NULL
339,NULL,NULL
340,"R-459A",NULL
341,NULL,NULL
342,NULL,NULL
343,"R-500",NULL
344,"R-501",NULL
345,"R-502",NULL
346,"R-503",NULL
347,"R-504",NULL
348,"R-505",NULL
349,"R-506",NULL
350,"R-507",NULL
351,"R-508",NULL
352,"R-508B",NULL
353,"R-509",NULL
354,"R-510",NULL
355,"R-511",NULL
356,"R-513A",NULL
357,"R-514A",NULL
358,"R-515B",NULL
359,"R-600",NULL
360,"R-600a",NULL
361,"R-601",NULL
362,"R-601a",NULL
363,"R-610",NULL
364,"R-611",NULL
365,"R-630",NULL
366,"R-631",NULL
367,"R-702",NULL
368,"R-704",NULL
369,"R-717",NULL
370,"R-718",NULL
371,"R-720",NULL
372,"R-728",NULL
373,"R-729",NULL
374,"R-732",NULL
375,"R-740",NULL
376,"R-744",NULL
377,"R-744A",NULL
378,"R-764",NULL
379,"R-784",NULL
380,"R-1112a",NULL
381,"R-1113",NULL
382,"R-1114",NULL
383,"R-1120",NULL
384,"R-1130",NULL
385,"R-1132a",NULL
386,"R-1140",NULL
387,"R-1141",NULL
388,"R-1150",NULL
389,"R-1216",NULL
390,"R-1218",NULL
391,"R-1224yd",NULL
392,"R-1233zd",NULL
393,"R-1234yf",NULL
394,"R-1234ze",NULL
395,"R-1270",NULL
396,"SP34E",NULL
397,"R-20",NULL
398,"R-20",NULL
399,"R-20",NULL
